id_pais;pais;capital;id_continente;id_idioma;id_gobierno;id_moneda;habitantes;habitantes_mujeres;habitantes_hombres;esperanza_de_vida_m;esperanza_de_vida_h
NULL;MALI;BAMAKO;1;31;14;72;21904983;10844239;11060744;60;57
NULL;MALTA;LA VALETA;4;60;12;57;516100;249161;266939;84;81
NULL;MARRUECOS;RABAT;1;5;5;33;37076585;18410922;18665663;76;72
NULL;ISLAS MARSHALL;MAJURO;5;62;12;35;42050;20567;21483;68;65
NULL;MAURICIO;PORT LOUIS;1;45;12;135;1266060;641326;624734;78;71
NULL;MAURITANIA;NUAKCHOT;1;5;11;147;4614975;2354385;2260590;66;63
NULL;MEXICO;CIUDAD DE MEXICO;2;25;8;117;126705138;64849001;61856137;74;66
NULL;MICRONESIA;PALIKIR;5;45;12;35;110928;55063;55865;75;67
NULL;MOLDAVIA;CHISINAU;4;73;12;91;2615200;1373816;1241384;75;66
NULL;MONACO;CIUDAD DE MONACO;4;31;5;65;36686;18704;17982;82;85
NULL;MONGOLIA;ULAN BATOR;3;63;14;146;3347783;1686321;1661462;77;68
NULL;MONTENEGRO;PODGORICA;4;64;12;57;620739;313875;306864;77;71
NULL;MOZAMBIQUE;MAPUTO;1;72;14;106;32077073;16339849;15737224;64;58
NULL;NAMIBIA;WINDHOEK;1;45;14;49;2530151;1308985;1221166;67;59
NULL;NAURU;YAREN;5;65;12;37;12512;6151;6361;68;65
NULL;NEPAL;KATMANDU;3;67;12;136;30034990;15664025;14370965;71;67
NULL;NICARAGUA;MANAGUA;2;25;13;15;6850540;3474910;3375630;75;74
NULL;NIGER;NIAMEY;1;31;14;72;25252722;12443587;12809135;62;60
NULL;NIGERIA;ABUYA;1;45;13;109;213401322;105574310;107827012;53;52
NULL;NORUEGA;OSLO;4;68;7;20;5391369;2672110;2719259;85;82
NULL;NUEVA ZELANDA;WELLINGTON;5;45;5;50;5122600;2583772;2538828;84;80
NULL;OMAN;MASCATE;3;5;4;124;4520471;1758703;2761768;77;73
NULL;PAISES BAJOS;AMSTERDAM;4;66;7;64;17475415;8788879;8686536;84;81
NULL;PAKISTAN;ISLAMABAD;3;88;9;132;231402116;114586264;116815852;69;64
NULL;PALAOS;NGERULMUD;5;69;13;35;18023;8643;9380;72;66
NULL;PALESTINA;RAMALA;3;5;14;96;4922750;2467389;2455361;77;72
NULL;PANAMA;CIUDAD DE PANAMA;2;25;13;35;4351267;2174744;2176523;81;73
NULL;PAPUA NUEVA GUINEA;PUERTO MORESBY;5;45;5;80;9949437;4811553;5137884;69;63
NULL;PARAGUAY;ASUNCION;2;40;13;78;6703799;3338534;3365265;78;72
NULL;PERU;LIMA;2;25;13;140;33715471;17020361;16695110;77;71
NULL;POLONIA;VARSOVIA;4;71;12;153;37840001;19532513;18307488;82;74
NULL;PORTUGAL;LISBOA;4;72;14;66;10298252;5439503;4858749;85;79
NULL;REINO UNIDO;LONDRES;4;45;5;94;66834405;33826586;33007819;83;79
NULL;RUANDA;KIGALI;1;33;13;73;13461888;6879649;6582239;69;64
NULL;RUMANIA;BUCAREST;4;73;14;90;19201662;9814072;9387590;77;69
NULL;RUSIA;MOSCU;4;74;14;130;143449286;76824577;66624709;78;68
NULL;ISLAS SALOMON;HONIARA;5;45;5;51;707851;346168;361683;72;69
NULL;SAMOA;APIA;5;75;1;144;218763;107213;111550;75;70
NULL;SAN CRISTOBAL Y NIEVES;BASSETERRE;2;45;5;44;47606;24591;23015;71;69
NULL;SAN MARINO;CIUDAD DE SAN MARINO;4;50;12;57;33745;17326;16419;84;78
NULL;SAN VICENTE Y GRANADINAS;KINGSTOWN;2;45;5;44;104332;51123;53209;75;70
NULL;SANTA LUCIA;CASTRIES;2;45;5;44;179652;90712;88940;77;70
NULL;SANTO TOME Y PRINCIPE;SANTO TOME;1;72;14;34;223107;111802;111305;71;65
NULL;SENEGAL;DAKAR;1;31;14;72;16876721;8579664;8297057;70;66
NULL;SERBIA;BELGRADO;4;76;12;30;6871547;3525575;3345972;76;70
