id_gobierno;gobierno
NULL;DEMOCRACIA PARLAMENTARIA
NULL;ESTADO SOCIALISTA
NULL;ESTADO SOCIALISTA UNIPARTIDISTA
NULL;MONARQUIA ABSOLUTA
NULL;MONARQUIA CONSTITUCIONAL
NULL;MONARQUIA CONSTITUCIONAL ELECTIVA
NULL;MONARQUIA PARLAMENTARIA
NULL;REPUBLICA FEDERAL PRESIDENCIALISTA
NULL;REPUBLICA ISLAMICA PARLAMENTARIA
NULL;REPUBLICA ISLAMICA PRESIDENCIALISTA
NULL;REPUBLICA ISLAMICA SEMIPRESIDENCIALISTA
NULL;REPUBLICA PARLAMENTARIA
NULL;REPUBLICA PRESIDENCIALISTA
NULL;REPUBLICA SEMIPRESIDENCIALISTA
NULL;REPUBLICA UNIPARTIDISTA
